Season,Team,Playoff,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,O_eFG%,O_TOV%,O_DRB%,O_FT/FGA,Arena,Attend.,Attend./G
2019,Washington Wizards,No,26.5,32,50,34,48,-2.9,-0.4,-3.3,111.1,113.9,-2.8,101.4,0.266,0.37,0.567,0.531,12.3,21.3,0.204,0.546,13.5,74.1,0.199,Capital One Arena,716996,17448
2019,Atlanta Hawks,No,25.1,29,53,27,55,-6.02,-0.04,-6.06,108.1,113.9,-5.8,103.9,0.255,0.403,0.555,0.522,14.3,24.7,0.192,0.541,12.8,76.4,0.237,State Farm Arena,628440,15328
2019,Chicago Bulls,No,24,22,60,21,61,-8.41,0.1,-8.32,104.8,113.2,-8.4,99,0.235,0.295,0.541,0.505,12.7,19.4,0.184,0.541,11.9,77.3,0.188,United Center,823475,20085
2019,New York Knicks,No,23.4,17,65,19,63,-9.21,0.28,-8.93,104.5,113.7,-9.2,99.6,0.27,0.334,0.529,0.49,12.4,22.1,0.205,0.533,11.7,76.1,0.203,Madison Square Garden (IV),779087,19002
2019,Phoenix Suns,No,24,19,63,19,63,-9.34,0.73,-8.61,105.9,115.1,-9.2,100.5,0.259,0.335,0.552,0.514,13.8,20.5,0.202,0.545,13.5,72.5,0.236,Talking Stick Resort Arena,627023,15293
2019,Cleveland Cavaliers,No,25.2,19,63,19,63,-9.61,0.22,-9.39,107.7,117.6,-9.9,96.6,0.236,0.332,0.54,0.503,12.2,23.7,0.187,0.564,11.5,77,0.181,Quicken Loans Arena,793337,19350
2018,Houston Rockets,Yes,29.8,65,17,61,21,8.48,-0.27,8.21,114.7,106.1,8.6,97.6,0.298,0.502,0.59,0.551,12.7,21.3,0.233,0.521,13.4,79.9,0.171,Toyota Center,732722,17871
2018,Toronto Raptors,Yes,25.8,59,23,60,22,7.78,-0.49,7.29,113.8,105.9,7.9,97.4,0.25,0.377,0.575,0.539,12.1,23,0.198,0.501,13,77.7,0.212,Air Canada Centre,813431,19840
2018,Golden State Warriors,Yes,28.8,58,24,56,26,5.98,-0.19,5.79,113.6,107.6,6,99.6,0.239,0.339,0.603,0.569,14.1,21,0.195,0.504,12.6,76.3,0.186,Oracle Arena,803436,19596
2018,Utah Jazz,Yes,26.7,48,34,53,29,4.3,0.17,4.47,108.4,103.9,4.5,95.7,0.26,0.357,0.564,0.527,13.7,21.5,0.202,0.506,14,79.8,0.19,Vivint Smart Home Arena,734806,17922
2018,Philadelphia 76ers,Yes,25.8,52,30,53,29,4.5,-0.2,4.3,109.5,105,4.5,99.8,0.263,0.344,0.568,0.535,14.6,25.3,0.198,0.492,12.6,78.6,0.218,Wells Fargo Center,833503,20361
2018,Boston Celtics,Yes,24.7,55,27,51,31,3.59,-0.35,3.23,107.6,103.9,3.7,96,0.243,0.357,0.552,0.518,13,21.5,0.188,0.495,13,78.4,0.191,TD Garden,763584,18624
2018,Oklahoma City Thunder,Yes,27.3,48,34,50,32,3.41,0,3.42,110.7,107.2,3.5,96.7,0.275,0.345,0.546,0.514,12.4,27.7,0.197,0.525,14.7,77.4,0.193,Chesapeake Energy Arena,746322,18203
2018,San Antonio Spurs,Yes,29.3,47,35,49,33,2.89,0,2.89,107.9,104.8,3.1,95,0.245,0.282,0.543,0.507,12.2,23.7,0.189,0.507,13.2,78.6,0.17,AT&T Center,754562,18404
2018,Portland Trail Blazers,Yes,25.6,49,33,48,34,2.6,0,2.6,109.1,106.4,2.7,96.5,0.24,0.324,0.549,0.511,12.3,23.3,0.192,0.503,11.7,79.1,0.193,Moda Center,795750,19409
2018,Minnesota Timberwolves,Yes,27.1,47,35,47,35,2.23,0.12,2.35,113.4,111.1,2.3,96,0.28,0.261,0.566,0.523,11.4,24.4,0.225,0.539,13.9,76.4,0.189,Target Center,699308,17056
2018,Denver Nuggets,No,25.1,46,36,45,37,1.48,0.09,1.57,112.5,111,1.5,96.8,0.258,0.357,0.57,0.536,13.4,25.7,0.198,0.539,12.6,77.5,0.173,Pepsi Center,702796,17141
2018,Indiana Pacers,Yes,26.2,48,34,45,37,1.38,-0.2,1.18,109.5,108.1,1.4,96,0.222,0.284,0.557,0.525,12.3,22.7,0.173,0.527,14.2,76.2,0.174,Bankers Life Fieldhouse,658119,16052
2018,New Orleans Pelicans,Yes,27.6,48,34,44,38,1.3,0.18,1.48,109.6,108.3,1.3,100.5,0.237,0.319,0.573,0.541,13.3,20,0.183,0.513,12.5,76.7,0.175,Smoothie King Center,673920,16437
2018,Cleveland Cavaliers,Yes,30.6,50,32,43,39,0.94,-0.35,0.59,112.9,111.9,1,98,0.275,0.379,0.584,0.547,12.6,20.1,0.214,0.54,12.2,77.3,0.166,Quicken Loans Arena,843042,20562
2018,Washington Wizards,Yes,26.9,43,39,43,39,0.59,-0.06,0.53,109.3,108.7,0.6,96.6,0.254,0.31,0.56,0.525,13.3,23.5,0.196,0.522,13.6,77.1,0.212,Capital One Arena,739302,18032
2018,Miami Heat,Yes,26.5,44,38,42,40,0.48,-0.33,0.15,106.8,106.3,0.5,95.6,0.229,0.358,0.551,0.52,13.3,21.5,0.173,0.507,13.1,79,0.215,AmericanAirlines Arena,804850,19630
2018,Charlotte Hornets,No,26.6,36,46,42,40,0.26,-0.19,0.07,109.4,109.1,0.3,98.4,0.312,0.314,0.549,0.508,11.4,22.2,0.233,0.532,12.4,80.7,0.165,Spectrum Center,671404,16376
2018,Los Angeles Clippers,No,27,42,40,41,41,0.04,0.11,0.15,110.3,110.2,0.1,98.7,0.299,0.314,0.564,0.527,13.2,23.5,0.222,0.52,12.6,76.1,0.203,STAPLES Center,697812,17020
2018,Detroit Pistons,No,25.9,39,43,41,41,-0.15,-0.11,-0.26,107.2,107.3,-0.1,96.2,0.227,0.333,0.543,0.512,12.3,22.7,0.169,0.524,13.7,78.5,0.172,Little Caesars Arena,713945,17413
2018,Milwaukee Bucks,Yes,25.9,44,38,40,42,-0.3,-0.15,-0.45,109.8,110.1,-0.3,96.2,0.281,0.297,0.571,0.531,12.9,20.4,0.22,0.528,14.2,75.9,0.22,BMO Harris Bradley Center,685303,16856
2018,Los Angeles Lakers,No,23.7,35,47,37,45,-1.55,0.11,-1.44,106.5,108,-1.5,100.3,0.264,0.329,0.548,0.517,13.8,23.6,0.188,0.514,12.5,77.7,0.19,STAPLES Center,776327,18935
2018,Dallas Mavericks,No,27.7,24,58,33,49,-3.04,0.34,-2.7,106.3,109.5,-3.2,95.6,0.217,0.382,0.544,0.513,11.6,18,0.166,0.532,12.9,78.9,0.193,American Airlines Center,811453,19792
2018,New York Knicks,No,26.3,29,53,32,50,-3.56,0.03,-3.53,107.1,110.7,-3.6,96.8,0.216,0.266,0.544,0.51,13.3,24.1,0.17,0.522,12.2,76.7,0.208,Madison Square Garden (IV),792608,19332
2018,Brooklyn Nets,No,25.1,28,54,31,51,-3.74,0.07,-3.67,106.9,110.6,-3.7,98.9,0.26,0.411,0.551,0.514,13.6,21,0.201,0.517,11,77,0.201,Barclays Center,640010,15376
2018,Orlando Magic,No,25.6,25,57,28,54,-4.82,-0.1,-4.92,105.2,110.1,-4.9,98.1,0.238,0.342,0.545,0.512,13.3,20,0.18,0.525,12.8,75.6,0.187,Amway Center,734531,17915
2018,Atlanta Hawks,No,25.4,24,58,27,55,-5.45,0.15,-5.3,105,110.6,-5.6,98.3,0.236,0.363,0.547,0.512,14.1,21.1,0.185,0.536,13.6,76.2,0.183,Philips Arena,590769,14409
2018,Memphis Grizzlies,No,26,22,60,25,57,-6.21,0.39,-5.81,104.5,111,-6.5,94.9,0.255,0.317,0.539,0.5,14,22.4,0.201,0.529,13.8,76.5,0.256,FedEx Forum,653863,15948
2018,Chicago Bulls,No,24.4,27,55,23,59,-7.04,0.2,-6.84,103.8,110.9,-7.1,98.3,0.216,0.35,0.529,0.497,12.6,20.6,0.164,0.542,12.4,80.6,0.184,United Center,851824,20776
2018,Sacramento Kings,No,26.4,27,55,23,59,-6.99,0.39,-6.6,103.7,111.1,-7.4,94.9,0.194,0.278,0.529,0.502,12.8,21.5,0.143,0.542,13.5,77.6,0.199,Golden 1 Center,714680,17431
2018,Phoenix Suns,No,23.7,21,61,19,63,-9.37,0.57,-8.8,103.5,112.8,-9.3,100.3,0.275,0.32,0.532,0.495,13.9,22.5,0.203,0.533,11.9,76.5,0.212,Talking Stick Resort Arena,690576,16843
2017,Golden State Warriors,Yes,28.2,67,15,67,15,11.63,-0.28,11.35,115.6,104,11.6,99.8,0.259,0.359,0.597,0.563,13.2,22.8,0.204,0.486,13.5,74.9,0.198,Oracle Arena,803436,19596
2017,San Antonio Spurs,Yes,29.6,61,21,60,22,7.2,-0.06,7.13,111.1,103.5,7.6,94.2,0.263,0.281,0.564,0.524,12.6,24,0.21,0.492,13.5,77.6,0.192,AT&T Center,755347,18423
2017,Houston Rockets,Yes,27.4,55,27,55,27,5.77,0.08,5.84,114.7,109,5.7,100,0.304,0.462,0.583,0.545,13.3,24.6,0.233,0.519,13.2,75.8,0.194,Toyota Center,695903,16973
2017,Toronto Raptors,Yes,26.1,51,31,52,30,4.21,-0.56,3.65,112.3,107.8,4.5,94.7,0.293,0.289,0.561,0.517,11.8,25,0.233,0.507,13.5,76.3,0.223,Air Canada Centre,813050,19830
2017,Los Angeles Clippers,Yes,30,51,31,52,30,4.29,0.13,4.42,112.7,108.2,4.5,96.1,0.312,0.329,0.574,0.537,12,21.5,0.233,0.506,12.1,76.9,0.211,STAPLES Center,782609,19088
2017,Utah Jazz,Yes,26.8,51,31,52,30,3.94,0.06,4,109.6,105.3,4.3,91.6,0.288,0.327,0.563,0.526,13.2,23.2,0.215,0.493,11.8,78.9,0.195,Vivint Smart Home Arena,806142,19662
2017,Cleveland Cavaliers,Yes,29.2,51,31,49,33,3.18,-0.31,2.87,113.6,110.3,3.3,96.2,0.275,0.399,0.58,0.547,12.6,21.9,0.206,0.516,11.4,75.8,0.174,Quicken Loans Arena,843042,20562
2017,Boston Celtics,Yes,25.9,53,29,48,34,2.63,-0.39,2.25,111.2,108.4,2.8,96.8,0.273,0.393,0.567,0.525,12.2,21.2,0.22,0.503,12.6,75.3,0.223,TD Garden,760690,18553
2017,Washington Wizards,Yes,26,49,33,46,36,1.8,-0.45,1.36,111.2,109.3,1.9,97.4,0.254,0.284,0.564,0.528,12.8,24.1,0.199,0.524,13.8,75.5,0.213,Verizon Center,697107,17003
2017,Miami Heat,No,26.5,41,41,44,38,1.06,-0.29,0.77,107.8,106.7,1.1,95.2,0.251,0.314,0.541,0.512,12.4,24.2,0.177,0.496,12.6,76.4,0.22,AmericanAirlines Arena,805400,19644
2017,Oklahoma City Thunder,Yes,24.7,47,35,43,39,0.76,0.39,1.14,108.3,107.5,0.8,97.8,0.295,0.295,0.54,0.5,13.2,27.9,0.22,0.511,12.5,79,0.218,Chesapeake Energy Arena,746323,18203
2017,Memphis Grizzlies,Yes,29.5,43,39,42,40,0.49,0.47,0.96,107.7,107.1,0.6,92.3,0.28,0.316,0.535,0.491,12.1,24.8,0.219,0.506,13.6,77.5,0.256,FedEx Forum,677314,16520
2017,Denver Nuggets,No,25.2,40,42,42,40,0.51,0.19,0.7,113.2,112.7,0.5,98.3,0.276,0.329,0.568,0.53,13.2,27.3,0.214,0.532,10.9,78.7,0.194,Pepsi Center,605585,14672
2017,Chicago Bulls,Yes,26.9,41,41,42,40,0.43,-0.39,0.03,107.4,107,0.4,95.3,0.259,0.256,0.53,0.487,12.3,27,0.206,0.507,12.4,76.8,0.169,United Center,888882,21680
2017,Charlotte Hornets,No,26.5,36,46,42,40,0.2,-0.26,-0.07,108.8,108.6,0.2,95.7,0.279,0.335,0.547,0.501,10.7,19.9,0.227,0.523,12.1,79.6,0.164,Spectrum Center,710643,17333
2017,Indiana Pacers,Yes,27,42,40,40,42,-0.22,-0.42,-0.64,108.6,108.8,-0.2,95.9,0.261,0.272,0.558,0.516,12.8,21.2,0.212,0.512,13.6,75.5,0.225,Bankers Life Fieldhouse,684578,16697
2017,Milwaukee Bucks,Yes,25.6,42,40,40,42,-0.18,-0.26,-0.45,109.1,109.3,-0.2,94.5,0.274,0.29,0.565,0.527,13.2,21.5,0.21,0.518,13.6,75.4,0.215,BMO Harris Bradley Center,648952,15828
2017,Portland Trail Blazers,Yes,24.8,41,41,40,42,-0.52,0.3,-0.23,110.3,110.8,-0.5,96.7,0.275,0.322,0.559,0.52,12.5,23,0.214,0.508,11.6,76.8,0.241,Moda Center,792029,19318
2017,Atlanta Hawks,Yes,27.9,43,39,39,43,-0.85,-0.38,-1.23,104.9,105.7,-0.8,97.4,0.295,0.309,0.541,0.504,14.2,23.6,0.215,0.507,13.8,76.1,0.179,Philips Arena,654306,15959
2017,Detroit Pistons,No,25.4,37,45,38,44,-1.12,-0.17,-1.29,106,107.1,-1.1,95,0.218,0.263,0.521,0.492,10.9,24.1,0.157,0.516,12.1,81.2,0.197,The Palace of Auburn Hills,655141,15979
2017,Minnesota Timberwolves,No,24,31,51,38,44,-1.11,0.47,-0.64,110.8,112,-1.2,94.6,0.287,0.249,0.555,0.511,12.9,27.2,0.229,0.535,13.2,75.9,0.212,Target Center,607203,14810
2017,New Orleans Pelicans,No,25.7,34,48,35,47,-2.1,0.41,-1.69,105.2,107.4,-2.2,98,0.256,0.308,0.539,0.504,11.7,18.5,0.192,0.509,12.4,76.8,0.177,Smoothie King Center,663099,16173
2017,Dallas Mavericks,No,27.6,33,49,33,49,-2.93,0.4,-2.53,105.6,108.8,-3.2,92.2,0.225,0.366,0.541,0.505,11.6,18.1,0.18,0.529,14.4,77.6,0.218,American Airlines Center,811366,19789
2017,New York Knicks,No,27.3,31,51,31,51,-3.67,-0.2,-3.87,107.7,111.5,-3.8,96,0.239,0.279,0.534,0.496,12.4,26.6,0.188,0.511,11.7,74.1,0.214,Madison Square Garden (IV),810741,19774
2017,Sacramento Kings,No,27.9,32,50,31,51,-3.88,0.58,-3.29,107.3,111.3,-4,94.9,0.284,0.291,0.556,0.516,13.7,21,0.22,0.528,12.9,76.3,0.227,Golden 1 Center,721928,17608
2017,Phoenix Suns,No,25,24,58,27,55,-5.63,0.49,-5.14,106.6,112.2,-5.6,100.3,0.297,0.255,0.538,0.493,13.4,26,0.231,0.525,13.1,76.4,0.264,Talking Stick Resort Arena,708639,17134
2017,Philadelphia 76ers,No,24.6,28,54,26,56,-5.7,-0.14,-5.83,103.2,108.9,-5.7,98.5,0.258,0.349,0.539,0.501,14.9,22.4,0.199,0.512,13.5,75.3,0.234,Wells Fargo Center,710557,17331
2017,Brooklyn Nets,No,26,20,62,24,58,-6.73,-0.01,-6.74,104.1,110.7,-6.6,101.3,0.289,0.371,0.551,0.507,14.7,19.6,0.228,0.513,11.6,76.1,0.212,Barclays Center,632608,15429
2017,Orlando Magic,No,25.3,29,53,24,58,-6.57,-0.04,-6.61,103.7,110.5,-6.8,96.8,0.246,0.3,0.524,0.489,12.1,21.6,0.184,0.523,11.9,77.4,0.201,Amway Center,727875,17753
2017,Los Angeles Lakers,No,25.1,26,56,24,58,-6.88,0.58,-6.29,106,113,-7,98.5,0.259,0.295,0.537,0.501,13.5,25,0.195,0.542,13,75.8,0.213,STAPLES Center,776917,18949
2016,San Antonio Spurs,Yes,30.3,67,15,67,15,10.63,-0.36,10.28,110.3,99,11.3,93.8,0.246,0.223,0.564,0.526,12.4,23,0.197,0.477,14.1,79.1,0.182,AT&T Center,756445,18450
2016,Golden State Warriors,Yes,27.4,73,9,65,17,10.76,-0.38,10.38,114.5,103.8,10.7,99.3,0.25,0.362,0.593,0.563,13.5,23.5,0.191,0.479,12.6,76,0.208,Oracle Arena,803436,19596
2016,Oklahoma City Thunder,Yes,25.8,55,27,59,23,7.28,-0.19,7.09,113.1,105.6,7.5,96.7,0.292,0.275,0.565,0.524,14,31.1,0.228,0.484,11.7,76,0.205,Chesapeake Energy Arena,746323,18203
2016,Cleveland Cavaliers,Yes,28.1,57,25,57,25,6,-0.55,5.45,110.9,104.5,6.4,93.3,0.259,0.352,0.558,0.524,12.7,25.1,0.194,0.496,12.6,78.5,0.205,Quicken Loans Arena,843042,20562
2016,Toronto Raptors,Yes,26.3,56,26,53,29,4.5,-0.42,4.08,110,105.2,4.8,92.9,0.328,0.287,0.552,0.504,12.3,24.6,0.255,0.498,12.7,77.7,0.201,Air Canada Centre,812863,19826
2016,Los Angeles Clippers,Yes,29.7,53,29,53,29,4.28,-0.15,4.13,108.3,103.8,4.5,95.8,0.318,0.324,0.556,0.524,12.1,20.1,0.22,0.48,13.8,73.8,0.222,STAPLES Center,786910,19193
2016,Atlanta Hawks,Yes,28.2,48,34,51,31,3.61,-0.12,3.49,105.1,101.4,3.7,97.1,0.237,0.336,0.552,0.516,13.8,19.1,0.185,0.48,14.4,74.6,0.194,Philips Arena,690150,16833
2016,Boston Celtics,Yes,25.2,48,34,50,32,3.21,-0.37,2.84,106.8,103.6,3.2,98.5,0.264,0.293,0.531,0.488,12.1,25.1,0.208,0.487,14.6,74.6,0.231,TD Garden,749076,18270
2016,Charlotte Hornets,Yes,26,48,34,49,33,2.72,-0.36,2.36,107.1,104.3,2.8,95.7,0.28,0.348,0.545,0.502,11.7,20,0.222,0.496,12.5,79.8,0.191,Time Warner Cable Arena,716894,17485
2016,Utah Jazz,No,24.2,40,42,46,36,1.79,0.05,1.84,105.9,103.9,2,91,0.286,0.297,0.54,0.501,14.2,25.9,0.213,0.495,13.5,77.7,0.21,Vivint Smart Home Arena,791489,19305
2016,Miami Heat,Yes,28.4,48,34,46,36,1.65,-0.14,1.5,106.1,104.4,1.7,93.6,0.282,0.221,0.545,0.508,13.3,23.8,0.21,0.485,12.1,77.8,0.196,AmericanAirlines Arena,809350,19740
2016,Indiana Pacers,Yes,26.9,45,37,46,36,1.71,-0.09,1.62,104.6,102.9,1.7,96.6,0.268,0.27,0.536,0.497,13.5,23.4,0.205,0.489,14.3,76,0.205,Bankers Life Fieldhouse,690733,16847
2016,Portland Trail Blazers,Yes,24.3,44,38,43,39,0.83,0.15,0.98,108.8,108,0.8,96,0.268,0.332,0.548,0.511,13.2,25.9,0.202,0.503,12.1,76.2,0.225,Moda Center,794085,19368
2016,Detroit Pistons,Yes,25,44,38,43,39,0.61,-0.18,0.43,106.1,105.5,0.6,95.1,0.296,0.303,0.522,0.491,12.2,27,0.197,0.504,12.5,79.3,0.196,The Palace of Auburn Hills,677138,16516
2016,Houston Rockets,Yes,27.8,41,41,42,40,0.2,0.14,0.34,108.3,108.1,0.2,97.6,0.352,0.37,0.553,0.516,14.2,25.7,0.244,0.516,14.7,72.8,0.219,Toyota Center,737244,17982
2016,Dallas Mavericks,Yes,30.3,42,40,40,42,-0.3,0.29,-0.02,106.7,107,-0.3,94.3,0.265,0.339,0.544,0.502,12,20.6,0.211,0.504,12.8,76.2,0.198,American Airlines Center,825901,20144
2016,Washington Wizards,No,27.3,41,41,40,42,-0.5,0,-0.5,105.3,105.8,-0.5,98.5,0.263,0.282,0.544,0.511,13.1,20.6,0.192,0.515,14.6,77.7,0.218,Verizon Center,725426,17693
2016,Chicago Bulls,No,27.6,42,40,37,45,-1.48,0.01,-1.46,105,106.5,-1.5,95.7,0.24,0.244,0.526,0.487,12.6,24.5,0.189,0.485,10.7,74.9,0.182,United Center,894659,21821
2016,Orlando Magic,No,23.9,35,47,36,46,-1.62,-0.06,-1.68,105.1,106.8,-1.7,96,0.232,0.255,0.533,0.5,12.8,23.1,0.175,0.513,13.8,76.5,0.215,Amway Center,719275,17515
2016,Sacramento Kings,No,26.6,33,49,34,48,-2.48,0.16,-2.32,106,108.4,-2.4,100,0.295,0.26,0.546,0.51,14.2,23.9,0.214,0.521,14,74.9,0.202,Sleep Train Arena,707526,17222
2016,Memphis Grizzlies,Yes,30.5,42,40,35,47,-2.24,0.11,-2.14,105.4,107.8,-2.4,93.3,0.295,0.222,0.524,0.477,12.3,25.3,0.231,0.518,15.2,75.1,0.251,FedEx Forum,701894,17119
2016,New York Knicks,No,27.2,32,50,33,49,-2.73,0,-2.74,104.6,107.6,-3,93.4,0.255,0.256,0.527,0.483,12.6,23.7,0.205,0.487,10.5,75.8,0.204,Madison Square Garden (IV),812292,19812
2016,Denver Nuggets,No,24.7,33,49,33,49,-3.1,0.29,-2.81,105.6,108.9,-3.3,95.7,0.282,0.277,0.531,0.489,13.2,25.8,0.216,0.515,12.6,77.3,0.216,Pepsi Center,577898,14095
2016,Minnesota Timberwolves,No,24.6,29,53,31,51,-3.54,0.15,-3.38,106.5,110.1,-3.6,95.2,0.332,0.202,0.549,0.498,13.9,24.3,0.263,0.524,13.6,74.7,0.2,Target Center,581178,14175
2016,New Orleans Pelicans,No,26.6,30,52,31,51,-3.79,0.24,-3.56,105.6,109.5,-3.9,96.8,0.259,0.277,0.537,0.498,12.3,21.2,0.201,0.523,12.7,78.8,0.225,Smoothie King Center,688549,16794
2016,Milwaukee Bucks,No,23.5,33,49,29,53,-4.18,0.2,-3.98,104.3,108.7,-4.4,94.2,0.276,0.189,0.537,0.499,14.2,24.9,0.207,0.51,14.2,73.1,0.221,BMO Harris Bradley Center,621808,15166
2016,Phoenix Suns,No,26,23,59,24,58,-6.66,0.34,-6.32,102.2,109,-6.8,98.5,0.271,0.302,0.526,0.487,15.2,25.4,0.204,0.523,13.5,77.1,0.237,Talking Stick Resort Arena,701405,17107
2016,Brooklyn Nets,No,26.9,21,61,22,60,-7.35,0.24,-7.12,103.2,110.9,-7.7,95.2,0.246,0.218,0.527,0.492,13.6,24.1,0.186,0.534,13.1,75.7,0.176,Barclays Center,620142,15125
2016,Los Angeles Lakers,No,26.5,17,65,17,65,-9.56,0.64,-8.92,101.6,111.6,-10,95.6,0.292,0.29,0.509,0.46,12.5,23.1,0.228,0.523,11.6,74.7,0.202,STAPLES Center,778877,18997
2016,Philadelphia 76ers,No,23.3,10,72,16,66,-10.23,0.31,-9.92,98.8,109.2,-10.4,97.9,0.269,0.327,0.519,0.487,14.8,20.6,0.186,0.51,13.5,74,0.24,Wells Fargo Center,614650,14991
2015,Golden State Warriors,Yes,26.6,67,15,65,17,10.1,-0.09,10.01,111.6,101.4,10.2,98.3,0.239,0.311,0.571,0.54,13.1,24.1,0.184,0.47,14.3,74.5,0.217,Oracle Arena,803436,19596
2015,Los Angeles Clippers,Yes,28.8,56,26,58,24,6.59,0.22,6.8,112.4,105.5,6.9,94.7,0.303,0.322,0.565,0.533,11.6,22.8,0.215,0.493,13.2,75.7,0.231,STAPLES Center,785892,19168
2015,San Antonio Spurs,Yes,29.8,55,27,58,24,6.2,0.14,6.34,108.5,102,6.5,93.8,0.256,0.269,0.555,0.517,13.1,23.4,0.2,0.484,13.3,77.3,0.19,AT&T Center,762855,18606
2015,Atlanta Hawks,Yes,27.8,60,22,56,26,5.43,-0.68,4.75,108.9,103.1,5.8,93.9,0.259,0.321,0.563,0.527,13.5,21.4,0.201,0.492,14.9,73.4,0.185,Philips Arena,713909,17412
2015,Cleveland Cavaliers,Yes,26.9,53,29,53,29,4.48,-0.4,4.08,111.1,106.3,4.8,92.3,0.287,0.334,0.557,0.52,13.4,26.8,0.216,0.502,12.6,74.7,0.177,Quicken Loans Arena,843042,20562
2015,Portland Trail Blazers,Yes,27,51,31,53,29,4.23,0.18,4.41,108.2,103.7,4.5,94.2,0.225,0.316,0.544,0.508,12.6,24.2,0.18,0.476,11.3,76.2,0.182,Moda Center,798368,19472
2015,Houston Rockets,Yes,27.6,56,26,50,32,3.44,0.38,3.82,107,103.4,3.6,96.5,0.312,0.392,0.548,0.512,15,26.8,0.223,0.486,14.6,72.9,0.208,Toyota Center,747412,18230
2015,Memphis Grizzlies,Yes,29.6,55,27,50,32,3.24,0.38,3.62,105.7,102.2,3.5,92,0.276,0.184,0.531,0.489,12.6,24.7,0.214,0.492,14.5,75.3,0.183,FedEx Forum,710502,17329
2015,Toronto Raptors,Yes,26.1,49,33,49,33,3.07,-0.62,2.45,111,107.7,3.3,92.8,0.295,0.302,0.553,0.508,12,25.6,0.232,0.506,13.4,73.3,0.208,Air Canada Centre,809824,19752
2015,Chicago Bulls,Yes,28.8,50,32,50,32,3,-0.46,2.54,107.5,104.3,3.2,92.8,0.304,0.269,0.536,0.489,12.9,27,0.238,0.473,11.3,74.4,0.182,United Center,886612,21625
2015,Dallas Mavericks,Yes,29.9,50,32,49,33,2.9,0.46,3.36,109.5,106.4,3.1,95.2,0.262,0.296,0.55,0.515,11.9,23.6,0.197,0.503,14.7,72.2,0.204,American Airlines Center,827702,20188
2015,Oklahoma City Thunder,No,25.4,45,37,47,35,2.18,0.28,2.47,107.8,105.5,2.3,95.7,0.284,0.262,0.532,0.492,13.1,28.9,0.214,0.489,12.4,75.6,0.213,Chesapeake Energy Arena,746323,18203
2015,New Orleans Pelicans,Yes,25.3,45,37,43,39,0.79,0.34,1.13,108.2,107.3,0.9,91.4,0.263,0.233,0.537,0.501,12.5,27.1,0.198,0.496,11.7,75.1,0.195,Smoothie King Center,683757,16677
2015,Washington Wizards,Yes,28.6,46,36,43,39,0.72,-0.55,0.17,103.7,103,0.7,93.7,0.259,0.203,0.534,0.499,14,24.9,0.192,0.481,12.9,77.3,0.21,Verizon Center,747796,18239
2015,Milwaukee Bucks,Yes,24.6,41,41,42,40,0.43,-0.52,-0.09,102.7,102.2,0.5,94.1,0.258,0.223,0.536,0.499,15.5,25.4,0.195,0.487,15.9,73.3,0.221,BMO Harris Bradley Center,593910,14813
2015,Indiana Pacers,No,28.3,38,44,42,40,0.28,-0.51,-0.23,103.5,103.2,0.3,93.2,0.266,0.255,0.523,0.484,13.1,24,0.201,0.478,12,77.9,0.217,Bankers Life Fieldhouse,691434,16864
2015,Utah Jazz,No,23.4,38,44,42,40,0.22,0.49,0.71,105.1,104.9,0.2,90.4,0.297,0.274,0.531,0.494,14.6,29.1,0.214,0.491,12.8,76.3,0.199,EnergySolutions Arena,772059,18831
2015,Boston Celtics,Yes,25,40,42,41,41,0.16,-0.56,-0.4,104.7,104.5,0.2,95.8,0.233,0.28,0.523,0.489,12.5,24.7,0.176,0.494,13.7,75,0.208,TD Garden,721350,17594
2015,Phoenix Suns,No,25.7,39,43,38,44,-0.9,0.52,-0.38,105.3,106.2,-0.9,96.3,0.251,0.291,0.537,0.501,13.7,24.5,0.191,0.497,14,73.5,0.221,US Airways Center,693862,16923
2015,Detroit Pistons,No,25.9,32,50,38,44,-1,-0.39,-1.39,105.3,106.4,-1.1,92.8,0.261,0.29,0.515,0.482,12.3,27.7,0.184,0.502,13.2,75,0.192,The Palace of Auburn Hills,625917,15266
2015,Miami Heat,No,28.5,37,45,33,49,-2.6,-0.32,-2.92,103.9,106.7,-2.8,90.9,0.306,0.262,0.54,0.5,14.5,23.2,0.227,0.505,14.2,73.4,0.213,AmericanAirlines Arena,808223,19713
2015,Brooklyn Nets,Yes,28.6,38,44,33,49,-2.88,-0.25,-3.13,104.4,107.4,-3,92.7,0.267,0.24,0.529,0.491,13,23.9,0.2,0.506,12.9,73.7,0.185,Barclays Center,698529,17037
2015,Charlotte Hornets,No,26,33,49,32,50,-3.17,-0.27,-3.44,100.1,103.5,-3.4,93,0.269,0.226,0.498,0.456,11.2,22.1,0.202,0.487,12,79.3,0.188,Time Warner Cable Arena,704886,17192
2015,Denver Nuggets,No,26.4,30,52,31,51,-3.55,0.48,-3.07,104.5,108.2,-3.7,96.1,0.278,0.284,0.518,0.479,12.7,26.6,0.204,0.504,13,74.7,0.239,Pepsi Center,602707,14700
2015,Sacramento Kings,No,26,29,53,31,51,-3.71,0.64,-3.07,105.3,109.2,-3.9,95.4,0.363,0.204,0.542,0.49,14.8,26.5,0.276,0.507,11.8,75.2,0.2,Sleep Train Arena,680049,16587
